,Date,Time,Account name,Account link,Tweet text,Mediafile,Tweet quotation,Likes,Retweets,Comments
76,24 Mar 2018,17:07,Barack Obama,@BarackObama,Michelle and I are so inspired by all the young people who made today’s marches happen. Keep at it. You’re leading us forward. Nothing can stand in the way of millions of voices calling for change.,No,No,1569123.0,318244.0,25819.0
77,19 Mar 2018,21:48,Barack Obama,@BarackObama,"Our most important task as a nation is to make sure all our young people can achieve their dreams. We’ve started this work with @MBK_Alliance, but there’s so much more all of us have to do—government, private sector, academia & community leaders—to change the odds for our kids.",No,Yes,137576.0,26803.0,4358.0
78,19 Mar 2018,15:10,Barack Obama,@BarackObama,"In Singapore with young people who are advocating for education, empowering young women, and getting involved all over Southeast Asia with a profoundly optimistic commitment to building the world they want to see.",No,Yes,172968.0,25972.0,3082.0
79,16 Mar 2018,00:22,Barack Obama,@BarackObama,41: I like the competition. And the loyalty to the home team. - 44,No,Yes,278097.0,29021.0,4067.0
80,15 Mar 2018,23:16,Barack Obama,@BarackObama,Congrats to @LoyolaChicago and Sister Jean for a last-second upset - I had faith in my pick!,No,No,129993.0,12820.0,2259.0
81,14 Mar 2018,20:12,Barack Obama,@BarackObama,"Just because I have more time to watch games doesn’t mean my picks will be better, but here are my brackets this year: https://go.obama.org/2018bracket ",Yes,No,261550.0,38182.0,7962.0
82,14 Mar 2018,14:58,Barack Obama,@BarackObama,Have fun out there among the stars.,Yes,No,1421812.0,265634.0,7620.0
83,12 Mar 2018,18:12,Barack Obama,@BarackObama,"Four years ago, @MichelleObama and I had the privilege to host Lt. Cmdr. Dan Cnossen and his fellow Paralympians and Olympians at the White House. Today, we’re so proud of him for winning gold and silver - while still representing the red, white, and blue.",Yes,No,173152.0,19321.0,3024.0
84,28 Feb 2018,02:58,Barack Obama,@BarackObama,"I got my start holding community meetings in Chicago, so it was fun to be home for one tonight. Michelle and I want the world to come together on the South Side at a place built with local ideas, values, and hopes. That’s the @ObamaFoundation and Presidential Center.",No,Yes,236905.0,36532.0,7114.0
85,22 Feb 2018,16:00,Barack Obama,@BarackObama,"Young people have helped lead all our great movements. How inspiring to see it again in so many smart, fearless students standing up for their right to be safe; marching and organizing to remake the world as it should be. We've been waiting for you. And we've got your backs.",No,No,1619383.0,439502.0,32992.0
86,21 Feb 2018,16:33,Barack Obama,@BarackObama,"Billy Graham was a humble servant who prayed for so many - and who, with wisdom and grace, gave hope and guidance to generations of Americans.",No,No,253853.0,34024.0,7843.0
87,15 Feb 2018,17:12,Barack Obama,@BarackObama,"We are grieving with Parkland. But we are not powerless. Caring for our kids is our first job. And until we can honestly say that we're doing enough to keep them safe from harm, including long overdue, common-sense gun safety laws that most Americans want, then we have to change.",No,No,1299233.0,368796.0,31940.0
88,14 Feb 2018,16:25,Barack Obama,@BarackObama,"Happy Valentine’s Day, @MichelleObama. You make every day and every place better.",Yes,No,1499754.0,236004.0,24113.0
89,14 Feb 2018,16:19,Michelle Obama,@MichelleObama,"Happy #ValentinesDay to my one and only, @BarackObama. To celebrate the occasion, I’m dedicating a little Valentine’s Day playlist to you!  ",No,No,167507.0,25924.0,3277.0
90,15 Jan 2018,14:46,Barack Obama,@BarackObama,"Dr. King was 26 when the Montgomery bus boycott began. He started small, rallying others who believed their efforts mattered, pressing on through challenges and doubts to change our world for the better. A permanent inspiration for the rest of us to keep pushing towards justice.",No,No,1436353.0,363749.0,28337.0
91,29 Dec 2017,16:11,Barack Obama,@BarackObama,"All across America people chose to get involved, get engaged and stand up. Each of us can make a difference, and all of us ought to try. So go keep changing the world in 2018.",No,No,495892.0,112502.0,18517.0
92,29 Dec 2017,16:10,Barack Obama,@BarackObama,"Ten-year-old Jahkil Jackson is on a mission to help homeless people in Chicago. He created kits full of socks, toiletries, and food for those in need. Just this week, Jahkil reached his goal to give away 5,000 “blessing bags.” That’s a story from 2017.",No,No,303547.0,47960.0,3307.0
93,29 Dec 2017,16:10,Barack Obama,@BarackObama,"Chris Long gave his paychecks from the first six games of the NFL season to fund scholarships in Charlottesville, VA. He wanted to do more, so he decided to give away an entire season’s salary. That’s a story from 2017.",No,No,266141.0,65516.0,3315.0
94,29 Dec 2017,16:09,Barack Obama,@BarackObama,"Kat Creech, a wedding planner in Houston, turned a postponed wedding into a volunteer opportunity for Hurricane Harvey victims. Thirty wedding guests became an organization of hundreds of volunteers. That’s a story from 2017.",No,No,153728.0,23213.0,1139.0
95,29 Dec 2017,16:09,Barack Obama,@BarackObama,"As we count down to the new year, we get to reflect and prepare for what’s ahead. For all the bad news that seemed to dominate our collective consciousness, there are countless stories from this year that remind us what's best about America.",No,No,771056.0,171929.0,20216.0
96,27 Dec 2017,18:22,MBK Alliance,@MBK_Alliance,"I am my Brother’s Keeper. 
Watch our new PSA with @BarackObama, @StephenCurry30 & @chancetherapper, then take action to stand with young men of color at http://iamMBK.org .",Yes,No,22446.0,7368.0,1093.0
97,25 Dec 2017,16:05,Barack Obama,@BarackObama,"On behalf of the Obama family, Merry Christmas! We wish you joy and peace this holiday season.",Yes,No,1447511.0,244285.0,43853.0
98,14 Dec 2017,22:39,Barack Obama,@BarackObama,There's no better time than the holiday season to reach out and give back to our communities. Great to hear from young people at the Boys & Girls Club in DC today.,Yes,No,407417.0,58029.0,11425.0
99,13 Dec 2017,00:17,Barack Obama,@BarackObama,"Happy Hanukkah, everybody, from the Obama family to yours. Chag Sameach!",No,No,675983.0,82000.0,12872.0
100,11 Dec 2017,20:16,Barack Obama,@BarackObama,Just got off a call to thank folks who are working hard to help more Americans across the country sign up for health coverage. But it's up to all of us to help spread the word: Sign up through this Friday at http://HealthCare.gov .,No,Yes,222015.0,84978.0,7077.0
